num,code_type,code,country,subject_type,senzing_feature,senzing_type_value,disposition,notes,count,unique_count,top_5_values
242,Identifier,PAK Number,Pakistan,Organization / Individual,,,PAYLOAD,PK armored corps / identification number,,,
243,Identifier,Part Number,Global,Organization,,,PAYLOAD,Manufacturing component identifier,,,
244,Identifier,Permanent Operator ID Number,United States,Organization,,,PAYLOAD,US FAA aircraft operator ID,,,
245,Identifier,Permanent Residence Permit Number,Global,Individual,OTHER_ID,RESIDENCE_PERMIT,FEATURE,Foreign national permanent residence permit,,,
246,Identifier,Permit Number,Global,Individual / Organization,,,PAYLOAD,Authority-issued permit number,,,
247,Identifier,Personal Digital Code,Russia,Individual,,,PAYLOAD,RU digital signature/verification code,,,
248,Identifier,Prepaid Funeral and Cemetery Sales Registration Number,United States,Organization,,,PAYLOAD,US prepaid funeral/cemetery plan license,,,
249,Identifier,Professional Boxer License Number,United States,Individual,,,PAYLOAD,US professional boxer license,,,
250,Identifier,Professional Investigator License Number,United States,Individual,,,PAYLOAD,US private investigator license,,,
251,Identifier,Professional Mixed Martial Artist License Number,United States,Individual,,,PAYLOAD,US MMA fighter license,,,
252,Identifier,Proprietary School Licensing Number,United States,Organization,,,PAYLOAD,US private school operating license,,,
253,Identifier,Provider ID,Global,Individual / Organization,,,PAYLOAD,Healthcare/service provider identifier,,,
254,Identifier,Public Security and Immigration Number,Global,Individual,,,PAYLOAD,Security/residency/immigration record ID,,,
255,Identifier,Quebec Enterprise Number (NEQ),Canada,Organization,NATIONAL_ID,NEQ,FEATURE,CA Quebec business ID,,,
256,Identifier,RC Number,Nigeria,Organization,NATIONAL_ID,RC,FEATURE,NG Corporate Affairs Commission registration,,,
257,Identifier,Rechtspersonen en Samenwerkingsverbanden Informatie Nummer (RSIN),Netherlands,Organization,TAX_ID,RSIN,FEATURE,NL legal entity tax/information number,,,
258,Identifier,Refugee ID Card,Global,Individual,OTHER_ID,REFUGEE_ID,FEATURE,Official registered refugee identification,,,
259,Identifier,Régie du bâtiment du Québec (RBQ) License Number,Canada,Organization,,,PAYLOAD,CA Quebec construction license,,,
260,Identifier,Register Code,Global,Organization,,,PAYLOAD,Registry-assigned code for entity,,,
261,Identifier,Registered Charity Number,Global,Organization,,,PAYLOAD,Official charity registration,,,
262,Identifier,Registered Company Auditor Number,Global,Individual / Organization,,,PAYLOAD,Company auditor registration,,,
263,Identifier,Registrant Number,Global,Individual / Organization,,,PAYLOAD,Registry-assigned number,,,
264,Identifier,Registration Authority Identification Number,Global,Organization,OTHER_ID,RAI,FEATURE,Registration authority ID,,,
265,Identifier,Registro Único del Contribuyente (RUC),Global,Individual / Organization,TAX_ID,RUC,FEATURE,LATAM taxpayer identification number,,,
266,Identifier,Registry code,Global,Organization,,,PAYLOAD,Registry record code,,,
267,Identifier,Registry Number,Global,Individual / Organization,,,PAYLOAD,Official registry entry number,,,
268,Identifier,REGON Number,Poland,Organization,NATIONAL_ID,REGON,FEATURE,PL National Business Registry number,,,
269,Identifier,Release Number,Global,Organization,,,PAYLOAD,Product/document release reference; not an entity identifier,,,
270,Identifier,Resolution Number,Global,Organization,,,PAYLOAD,Official resolution/decision reference,,,
271,Identifier,Reuters Instrument Code,Global,Organization,,,PAYLOAD,Reuters financial instrument code,,,
272,Identifier,Revenue Number,Global,Individual / Organization,TAX_ID,REVENUE,FEATURE,Tax/revenue identification number,,,
273,Identifier,RIBO Licence Number,Canada,Individual / Organization,,,PAYLOAD,CA insurance broker license,,,
274,Identifier,Ride ID Number,Global,Organization,,,PAYLOAD,Transportation app ride reference,,,
275,Identifier,Romanian Permanent Resident Number,Romania,Individual,NATIONAL_ID,RO_PERM_RES,FEATURE,RO permanent resident ID,,,
276,Identifier,RTN Number,USA,Organization,OTHER_ID,RTN,FEATURE,US bank routing transit number,,,
277,Identifier,Russian State Individual Business Registration Number Pattern (OGRNIP),Russia,Individual,NATIONAL_ID,OGRNIP,FEATURE,RU individual entrepreneur registration (same as #236),,,
278,Identifier,Safe Number,Global,Organization,,,PAYLOAD,Security/compliance registration number,,,
279,Identifier,Sanction Code,Global,Organization,,,PAYLOAD,Sanctions classification code; not an entity identifier,,,
280,Identifier,SBS Number,Global,Organization,,,PAYLOAD,Statistics/registry business identifier,,,
281,Identifier,Seafarer's Identification Document,Global,Individual,OTHER_ID,SEAFARER_ID,FEATURE,Maritime personnel identification,,,
282,Identifier,SEBI Circular Number,India,Organization,,,PAYLOAD,Regulatory circular reference; not an entity identifier,,,
283,Identifier,SEBI Order Number,India,Organization,,,PAYLOAD,Enforcement order reference; not an entity identifier,,,
284,Identifier,Secretaría de Relaciones Exteriores (SRE) Permit Number,Mexico,Individual,,,PAYLOAD,MX foreign affairs permit,,,
285,Identifier,Securities Account Number,Global,Individual,ACCOUNT,SECURITIES,FEATURE,Investor securities account,,,
286,Identifier,Security Code,Global,Individual,,,PAYLOAD,Verification/access code,,,
287,Identifier,Serial No.,Global,Organization,,,PAYLOAD,Product/equipment serial number; not an entity identifier,,,
288,Identifier,Service Provider Licence Number,India,Individual / Organization,,,PAYLOAD,IN service provider license,,,
289,Identifier,Settlement Application Number,India,Individual / Organization,,,PAYLOAD,Dispute resolution application reference,,,
290,Identifier,Settlement Order Number,India,Individual / Organization,,,PAYLOAD,Dispute resolution order reference,,,
291,Identifier,Show Cause Notice Number,India,Individual / Organization,,,PAYLOAD,Regulatory notice reference; not an entity identifier,,,
292,Identifier,Signatory ID,Global,Individual,,,PAYLOAD,Authorized signatory identifier,,,
293,Identifier,Singapore National Registration Identity Card (NRIC),Singapore,Individual,NATIONAL_ID,NRIC,FEATURE,SG citizen/permanent resident ID,,,
294,Identifier,Ski Lift ID Number,Global,Organization,,,PAYLOAD,Equipment identifier,,,
295,Identifier,SNIOR (SNILS),Russia,Individual,NATIONAL_ID,SNILS,FEATURE,RU individual insurance account number,,,
296,Identifier,SRA Number,United Kingdom,Individual,,,PAYLOAD,UK Solicitors Regulation Authority ID,,,
297,Identifier,SRN Number,Global,Organization,,,PAYLOAD,Service request tracking number; not an entity identifier,,,
298,Identifier,Statute Code,Global,Organization,,,PAYLOAD,Legal statute reference code; not an entity identifier,,,
299,Identifier,Stock Ticker Symbol,Global,Organization,,,PAYLOAD,Stock exchange ticker code (same as #185),,,
300,Identifier,STTN Number,Global,Organization,,,PAYLOAD,Statistical tracking/transaction number,,,
301,Identifier,Sub-account Registration Number,Global,Organization,,,PAYLOAD,Sub-account identifier under main account,,,
302,Identifier,Swiss Commercial Register,Switzerland,Organization,NATIONAL_ID,CH_COMMERCIAL_REG,FEATURE,CH official company registration,,,
303,Identifier,Sworn Application Number,Global,Individual / Organization,,,PAYLOAD,Sworn application reference; not an entity identifier,,,
304,Identifier,Système d'Identification du Répertoire des Entreprises (SIREN) Number,France,Organization,NATIONAL_ID,SIREN,FEATURE,FR business identifier; per entity spec,,,
305,Identifier,Tax Registration Number,Global,Individual / Organization,TAX_ID,TAX_REG,FEATURE,Generic taxpayer registration,,,
306,Identifier,Tax Registration Reason Code,Global,Individual / Organization,,,PAYLOAD,Tax registration classification code; supplementary info,,,
307,Identifier,Taxicab Carrier Registration Number,Global,Individual,,,PAYLOAD,Taxi operator license,,,
308,Identifier,Temporary Order Number,Global,Individual / Organization,,,PAYLOAD,Temporary court/regulatory order reference,,,
309,Identifier,Trademark Number,Global,Individual / Organization,OTHER_ID,TRADEMARK,FEATURE,Trademark registration number,,,
310,Identifier,Transaction Number,Global,Individual / Organization,,,PAYLOAD,Financial/official transaction reference; not an entity identifier,,,
311,Identifier,UK Establishment Number,United Kingdom,Organization,NATIONAL_ID,UK_ESTABLISHMENT,FEATURE,UK branch of foreign company identifier,,,
312,Identifier,UK Provider Reference Number,United Kingdom,Organization,,,PAYLOAD,UK education/training provider ID,,,
313,Identifier,Ukrainian Tax Number,Ukraine,Individual / Organization,TAX_ID,UA_TAX,FEATURE,UA taxpayer identification number,,,
314,Identifier,Unarmed Combat Promoter License Number,USA,Individual / Organization,,,PAYLOAD,US combat sports promoter license,,,
315,Identifier,Unified State Register of Legal Entities and Individual Entrepreneurs (USR),Global,Organization,,,PAYLOAD,Business registration number,,,
316,Identifier,Unique Reference Number,Global,Individual / Organization,,,PAYLOAD,Generic reference identifier; too vague for ER,,,
317,Identifier,Unique Registration Number in the Unified State Demographic Register (UNZR),Ukraine,Individual,NATIONAL_ID,UNZR,FEATURE,UA personal identifier from demographic register,,,
318,Identifier,Unique Tax Identification Code (CUIT),Argentina,Individual,TAX_ID,CUIT,FEATURE,AR taxpayer ID code,,,
319,Identifier,UNP Number,Belarus,Organization,TAX_ID,UNP,FEATURE,BY unique payer registration number,,,
320,Identifier,Venezuela Registry of Fiscal Information (RIF),Venezuela,Organization,TAX_ID,RIF,FEATURE,VE taxpayer registration number,,,
321,Identifier,VIAF Number,Global,Individual / Organization,,,PAYLOAD,Virtual International Authority File identifier,,,
322,Identifier,Visa Number ID,Global,Individual,OTHER_ID,VISA,FEATURE,Visa document number,,,
323,Identifier,Voter ID Number,Global,Individual,OTHER_ID,VOTER_ID,FEATURE,Official registered voter identifier,,,
324,Identifier,Warrant Number,Global,Individual / Organization,,,PAYLOAD,Legal/financial warrant reference; not an entity identifier,,,
325,Identifier,Bookmaker's Key Employee Registration Number,Global,Individual,,,PAYLOAD,Gambling regulatory key employee registration,,,
326,Identifier,Ad-interim Order Number,India,Individual / Organization,,,PAYLOAD,SEBI provisional order reference; not an entity identifier,,,
327,Identifier,Hong Kong Institute of Certified Public Accountants (HKICPA) Membership Number,Hong Kong,Individual,,,PAYLOAD,HK certified accountant membership,,,
328,Identifier,Practising Certificate Number,Global,Individual,,,PAYLOAD,Professional regulatory body practice license,,,
329,Identifier,Registered Filing Agent (RFA),Singapore,Individual / Organization,,,PAYLOAD,SG registered filing agent designation,,,
330,Identifier,Corporate Service Provider (CSP),Singapore,Organization,,,PAYLOAD,SG corporate service provider registration,,,
331,Identifier,Seaman Passport,Global,Individual,PASSPORT,,FEATURE,Seafarer passport (travel document),,,
332,Identifier,Oregon SID,United States,Individual,OTHER_ID,OREGON_SID,FEATURE,US-OR state identification number,,,
333,Identifier,Case Number,Global,Individual / Organization,,,PAYLOAD,Legal/regulatory case reference; not an entity identifier,,,
334,Identifier,Tarjeta de Identidad,Colombia,Individual,NATIONAL_ID,TARJETA_DE_IDENTIDAD,FEATURE,CO youth/minor national identity card,,,
335,Identifier,Employee Identification Number,Global,Individual,,,PAYLOAD,Internal employer-assigned ID; not a government-issued identifier,,,
336,Identifier,Bank Verification Number (BVN),Nigeria,Individual / Organization,NATIONAL_ID,BVN,FEATURE,NG centralized banking identity verification number,,,
337,Identifier,Registro Nacional de Estrangeiros (RNE),Brazil,Individual,NATIONAL_ID,RNE,FEATURE,BR foreign resident registration number,,,
338,Identifier,Código Único de Identificación Laboral (CUIL),Argentina,Individual,TAX_ID,CUIL,FEATURE,AR labor/tax identification number,,,
